自然地理与行政区划_镇个数,地区生产总值                                                                                        
自然地理与行政区划_乡个数,居民消费水平                                                                                        
自然地理与行政区划_街道,农村居民消费水平                                                                                    
自然地理与行政区划_居民委员会,城镇居民消费水平                                                                                    
自然地理与行政区划_村民委员会,年末常驻人口                                                                                        
自然地理与行政区划_土地面积,城镇人口                                                                                            
自然地理与行政区划_人口密度,乡村人口                                                                                            
分地区日照时数_全年,地方财政一般预算收入                                                                                
分地区降水量_全年,地方财政税收收入                                                                                    
分地区平均气温_全年,地方财政一般预算支出                                                                                
分地区水文情况_年平均水位,城区面积                                                                                            
分地区水文情况_最高水位,建成区面积                                                                                          
分地区水文情况_最高水位_日期,城市建设用地面积                                                                                    
分地区水文情况_最低水位,城市人口密度                                                                                        
分地区水文情况_最低水位_日期,供水综合生产能力                                                                                    
全市国民经济主要指标_人口_年末总人口,供水管道长度                                                                                        
全市国民经济主要指标_人口_年末总人口_非农业人口,供水总量                                                                                            
全市国民经济主要指标_年末常住人口,生活用供水总量                                                                                      
全市国民经济主要指标_地区生产总值,生产用供水总量                                                                                      
全市国民经济主要指标_第一产业,用水人口                                                                                            
全市国民经济主要指标_第二产业,人均日生活用水量                                                                                    
全市国民经济主要指标_第二产业_工业,人工煤气供气总量                                                                                    
全市国民经济主要指标_第三产业,液化石油气供气总量                                                                                  
全市国民经济主要指标_第三产业_人均GDP,天然气供气总量                                                                                      
全市国民经济主要指标_运输邮电_全社会客运量,人工煤气用气人口                                                                                    
全市国民经济主要指标_运输邮电_全社会货运量,液化石油气用气人口                                                                                  
全市国民经济主要指标_运输邮电_邮电业务总量,供热面积                                                                                            
全市国民经济主要指标_国内贸易_社会消费品零售总额,道路长度                                                                                            
全市国民经济主要指标_对外经济和国际旅游_进出口总额,道路面积                                                                                            
全市国民经济主要指标_对外经济和国际旅游_进出口总额_出口总额,城市桥梁                                                                                            
全市国民经济主要指标_对外经济和国际旅游_利用外资_新签协议（合同）项目数,城市排水管道长度                                                                                    
全市国民经济主要指标_对外经济和国际旅游_利用外资_协议（合同）外资金额,城市污水日处理能力                                                                                  
全市国民经济主要指标_对外经济和国际旅游_利用外资_实际利用外资,城市道路照明灯                                                                                      
全市国民经济主要指标_对外经济和国际旅游_国家旅游_接待境外旅游者人数,公共交通客运总量                                                                                    
全市国民经济主要指标_电力_全社会用电量,公共汽电车客运量                                                                                    
全市国民经济主要指标_电力_全社会用电量_工业用电量,轨道交通客运量                                                                                      
全市国民经济主要指标_固定资产投资_全社会固定资产投资,出租汽车                                                                                            
全市国民经济主要指标_财政_财政收入,城市绿地面积                                                                                        
全市国民经济主要指标_财政_财政收入_地方财政收入,建成区绿化覆盖率                                                                                    
全市国民经济主要指标_财政_财政支出,道路清扫保洁面积                                                                                    
全市国民经济主要指标_金融_金融机构年末存款余额,生活垃圾清运量                                                                                      
全市国民经济主要指标_金融_金融机构年末贷款余额,粪便清运量                                                                                          
全市国民经济主要指标_物价指数_市区居民消费价格指数,公共厕所数量                                                                                        
全市国民经济主要指标_物价指数_市区商品零售价格指数,城市用水普及率                                                                                      
全市国民经济主要指标_工资_职工工资总额,城市燃气普及率                                                                                      
全市国民经济主要指标_工资_职工平均工资,每万人拥有公共交通车辆                                                                              
全市国民经济主要指标_人民生活_农村居民人均纯收入,人均城市道路面积                                                                                    
全市国民经济主要指标_人民生活_城镇居民人均可支配收入,人均公园绿地面积                                                                                    
全市国民经济主要指标_人民生活_城乡居民储蓄年末存款余额,每万人拥有公共厕所                                                                                  
全市国民经济主要指标_教育_在校学生数_高等学校,消费品零售总额                                                                                      
全市国民经济主要指标_教育_在校学生数_中等专业学校,总户数(人口抽样调查)(户)                                                                            
全市国民经济主要指标_教育_在校学生数_职业中学,家庭户户数(人口抽样调查)(户)                                                                        
